id,styleId,styleName,category,visual,density,pageType,pageName,filename,status
handdrawn-watercolor-cover,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,cover,封面页,handdrawn-watercolor-cover.png,generated
handdrawn-watercolor-agenda,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,agenda,目录页,handdrawn-watercolor-agenda.png,generated
handdrawn-watercolor-section,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,section,过渡页,handdrawn-watercolor-section.png,generated
handdrawn-watercolor-text,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,text,纯文字页,handdrawn-watercolor-text.png,generated
handdrawn-watercolor-image-text,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,image-text,文字图片页,handdrawn-watercolor-image-text.png,generated
handdrawn-watercolor-data,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,data,数据/要点页,handdrawn-watercolor-data.png,generated
handdrawn-watercolor-closing,handdrawn-watercolor,手绘水彩,手绘与插画,手绘水彩,中,closing,结尾页,handdrawn-watercolor-closing.png,generated
pencil-sketch-cover,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,cover,封面页,pencil-sketch-cover.png,generated
pencil-sketch-agenda,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,agenda,目录页,pencil-sketch-agenda.png,generated
pencil-sketch-section,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,section,过渡页,pencil-sketch-section.png,generated
pencil-sketch-text,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,text,纯文字页,pencil-sketch-text.png,generated
pencil-sketch-image-text,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,image-text,文字图片页,pencil-sketch-image-text.png,generated
pencil-sketch-data,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,data,数据/要点页,pencil-sketch-data.png,generated
pencil-sketch-closing,pencil-sketch,铅笔素描,手绘与插画,铅笔素描,中,closing,结尾页,pencil-sketch-closing.png,generated
marker-storyboard-cover,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,cover,封面页,marker-storyboard-cover.png,generated
marker-storyboard-agenda,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,agenda,目录页,marker-storyboard-agenda.png,generated
marker-storyboard-section,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,section,过渡页,marker-storyboard-section.png,generated
marker-storyboard-text,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,text,纯文字页,marker-storyboard-text.png,generated
marker-storyboard-image-text,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,image-text,文字图片页,marker-storyboard-image-text.png,generated
marker-storyboard-data,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,data,数据/要点页,marker-storyboard-data.png,generated
marker-storyboard-closing,marker-storyboard,马克笔分镜,手绘与插画,马克笔分镜,中,closing,结尾页,marker-storyboard-closing.png,generated
colored-pencil-cover,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,cover,封面页,colored-pencil-cover.png,generated
colored-pencil-agenda,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,agenda,目录页,colored-pencil-agenda.png,generated
colored-pencil-section,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,section,过渡页,colored-pencil-section.png,generated
colored-pencil-text,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,text,纯文字页,colored-pencil-text.png,generated
colored-pencil-image-text,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,image-text,文字图片页,colored-pencil-image-text.png,generated
colored-pencil-data,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,data,数据/要点页,colored-pencil-data.png,generated
colored-pencil-closing,colored-pencil,彩铅插画,手绘与插画,彩铅插画,中,closing,结尾页,colored-pencil-closing.png,generated
gouache-poster-cover,gouache-poster,复古水粉海报,手绘与插画,复古水粉海报,中,cover,封面页,gouache-poster-cover.png,generated
