id,styleId,styleName,category,visual,density,pageType,pageName,filename,status
process-diagram-closing,process-diagram,流程图,抽象与信息设计,流程图,中,closing,结尾页,process-diagram-closing.png,pending
mindmap-cover,mindmap,思维导图,抽象与信息设计,思维导图,中,cover,封面页,mindmap-cover.png,pending
mindmap-agenda,mindmap,思维导图,抽象与信息设计,思维导图,中,agenda,目录页,mindmap-agenda.png,pending
mindmap-section,mindmap,思维导图,抽象与信息设计,思维导图,中,section,过渡页,mindmap-section.png,pending
mindmap-text,mindmap,思维导图,抽象与信息设计,思维导图,中,text,纯文字页,mindmap-text.png,pending
mindmap-image-text,mindmap,思维导图,抽象与信息设计,思维导图,中,image-text,文字图片页,mindmap-image-text.png,pending
mindmap-data,mindmap,思维导图,抽象与信息设计,思维导图,中,data,数据/要点页,mindmap-data.png,pending
mindmap-closing,mindmap,思维导图,抽象与信息设计,思维导图,中,closing,结尾页,mindmap-closing.png,pending
timeline-cover,timeline,时间轴,抽象与信息设计,时间轴,中,cover,封面页,timeline-cover.png,pending
timeline-agenda,timeline,时间轴,抽象与信息设计,时间轴,中,agenda,目录页,timeline-agenda.png,pending
timeline-section,timeline,时间轴,抽象与信息设计,时间轴,中,section,过渡页,timeline-section.png,pending
timeline-text,timeline,时间轴,抽象与信息设计,时间轴,中,text,纯文字页,timeline-text.png,pending
timeline-image-text,timeline,时间轴,抽象与信息设计,时间轴,中,image-text,文字图片页,timeline-image-text.png,pending
timeline-data,timeline,时间轴,抽象与信息设计,时间轴,中,data,数据/要点页,timeline-data.png,pending
timeline-closing,timeline,时间轴,抽象与信息设计,时间轴,中,closing,结尾页,timeline-closing.png,pending
dashboard-cover,dashboard,仪表盘,抽象与信息设计,仪表盘,中,cover,封面页,dashboard-cover.png,pending
dashboard-agenda,dashboard,仪表盘,抽象与信息设计,仪表盘,中,agenda,目录页,dashboard-agenda.png,pending
dashboard-section,dashboard,仪表盘,抽象与信息设计,仪表盘,中,section,过渡页,dashboard-section.png,pending
dashboard-text,dashboard,仪表盘,抽象与信息设计,仪表盘,中,text,纯文字页,dashboard-text.png,pending
dashboard-image-text,dashboard,仪表盘,抽象与信息设计,仪表盘,中,image-text,文字图片页,dashboard-image-text.png,pending
dashboard-data,dashboard,仪表盘,抽象与信息设计,仪表盘,中,data,数据/要点页,dashboard-data.png,pending
dashboard-closing,dashboard,仪表盘,抽象与信息设计,仪表盘,中,closing,结尾页,dashboard-closing.png,pending
geometric-abstract-cover,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,cover,封面页,geometric-abstract-cover.png,pending
geometric-abstract-agenda,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,agenda,目录页,geometric-abstract-agenda.png,pending
geometric-abstract-section,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,section,过渡页,geometric-abstract-section.png,pending
geometric-abstract-text,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,text,纯文字页,geometric-abstract-text.png,pending
geometric-abstract-image-text,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,image-text,文字图片页,geometric-abstract-image-text.png,pending
geometric-abstract-data,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,data,数据/要点页,geometric-abstract-data.png,pending
geometric-abstract-closing,geometric-abstract,几何抽象,抽象与信息设计,几何抽象,中,closing,结尾页,geometric-abstract-closing.png,pending
generative-art-cover,generative-art,生成艺术,抽象与信息设计,生成艺术,中,cover,封面页,generative-art-cover.png,pending
generative-art-agenda,generative-art,生成艺术,抽象与信息设计,生成艺术,中,agenda,目录页,generative-art-agenda.png,pending
generative-art-section,generative-art,生成艺术,抽象与信息设计,生成艺术,中,section,过渡页,generative-art-section.png,pending
generative-art-text,generative-art,生成艺术,抽象与信息设计,生成艺术,中,text,纯文字页,generative-art-text.png,pending
generative-art-image-text,generative-art,生成艺术,抽象与信息设计,生成艺术,中,image-text,文字图片页,generative-art-image-text.png,pending
generative-art-data,generative-art,生成艺术,抽象与信息设计,生成艺术,中,data,数据/要点页,generative-art-data.png,pending
generative-art-closing,generative-art,生成艺术,抽象与信息设计,生成艺术,中,closing,结尾页,generative-art-closing.png,pending
